videoId,commentId,authorDisplayName,textOriginal,likeCount,student_1,student_2,student_3
CMmtcOQqUV8,Ugzm-en0KpN3PffGtdR4AaABAg,r c,"我是美國的知識藍，也是經濟藍, 雖然沒看過蔡的原本論文，不過她的散裝本肯定取不到博士學位",198,,無關對美立場,有關-中立0
CUBkf48uEMw,Ugxs-CR2CwoIyxxHL6R4AaABAg,Georgette Gai,"美國十八年的阿富汗戰爭 一共花了兩兆美元。民進黨隨便一個案子就花五兆 
叧外八千八百億治水工程  不知肥了那些貓？",197,,有關-中立0,無關對美立場
CUBkf48uEMw,UgyUqdRH7aOjJlmCrFx4AaABAg,哈 哈,柯P是台灣的川普，兩者都是口無遮欄亂說話,197,,有關-中立0,有關-仇美-1
D87OrEpbr-o,Ugz4XU24_KQ4AzDDrQh4AaABAg,董育秀,"蔡小姐在飛機上接受CNN訪問，宣布自己是美國人認同的尪仔總統...可憐...
柯P...加油...",195,,有關-仇美-1,有關-仇美-1
FhFh9rh3bZU,Ugw4rZtGgM2Rdq9xFJx4AaABAg,Joyce Lin,可以不要再提假民調嗎？超沒義意！蔡英文會斷9個邦交國+假論文而下台？王世堅最近拼命拱小英賣力演出過頭了吧！鳳馨説得太正確了，美國根本就是忽弄台灣人啊！,191,,有關-仇美-1,有關-仇美-1
FhFh9rh3bZU,UgwllSnuY3j7zV9sxCZ4AaABAg,Fang Yi Chiu,那個台北法案超級好笑！美國自己都不跟台灣建交，還管到別人,189,,有關-仇美-1,無關對美立場
FhFh9rh3bZU,UgxWwwNeuMmHdnajABF4AaABAg,Vickie Chiu,台灣正在當美中的棋子，再次驗證了韓市長的論述，所以我們要當不可或缺的塞子,191,,有關-仇美-1,有關-仇美-1
FhFh9rh3bZU,Ugys3CYLvi6XUCgXPTF4AaABAg,沈景銓,美國連建交都不肯，有什麼好期待？外交部不知在做什麼？反扶龍王說的口沫橫飛，義正詞嚴，敬佩！敬佩！,191,,有關-仇美-1,有關-仇美-1
GZTPXqC33UU,Ugw7rvxpZspt1IKz0-J4AaABAg,Kan Wei Wu,罷韓有香港隊？美國隊？這跟高雄市政有何關係？高雄市民應該很不高興的，民進黨挫耶等。,183,,無關對美立場,無關對美立場
GZTPXqC33UU,Ugydp2lOs2jItjwrXUt4AaABAg,陳麗鎔,民進黨就是下三爛罷韓遊街看不到國旗卻有美國國旗👇,182,,有關-中立0,有關-仇美-1
HAlJTHctblo,UgwIU1G2LMQh_Gcyg4x4AaABAg,cloud dreamer,"他什麼時候張開嘴，說""只要徵召"" ？證明給我看 。問題是國民黨選舉制度不做公平，公開的工作。看看美國的選舉制度，什麼時候需要走台下?",182,,有關-中立0,有關-中立0
JXpoMMWjp1Y,UgyTvAax6GytCeGGbzx4AaABAg.8pzwzwb-bEW8q063xf9xx3,yiuxhu,@鄭先生 吸毒這種事在美國的摩鐵也會發生，但業者一定找來警察取締而且警方也必全力配合，否則生意信用會有影響——偷情就不管了。,175,,無關對美立場,無關對美立場
KYrbisWfoAg,UgwmHeXGtodRcR_rSWd4AaABAg,Donkey King,電火球仔，你是英英美代子嗎？正事不去做，每天只想跟高雄市長開玩笑，為什麼不去用你的亮光，去造福老百姓？,174,,無關對美立場,無關對美立場
LQKiN0F4rP4,UgyO__S0Y5XsF35uort4AaABAg,Peter Yuen,香港被港獨及老美從中搞事，拉著後腿，不被大陸城市超越很難。,172,,無關對美立場,有關-仇美-1
MdH2ncxlXHI,Ugx_0H7GLjjs-CHJCiN4AaABAg,湯JC,詐騙治國。走私治國。肥貓治國，賈博士，陰嬤，台北市重劃土地家族，中山北路#樂馬飯店  #  😎世家，美軍happy嘿嘿 窩,169,,有關-仇美-1,無關對美立場
MwCvCqOb4QY,UgwJmnmKxdlklVDmhKp4AaABAg.8rPCkximFZW8rPqdklK42j,C F,別亂說了，是美國幹的，如果是老共幹的，美國早就炮轟了，還等郭文貴,169,,有關-仇美-1,無關對美立場
